right x, right y, right size, left x, left y, left size
3.164307,8.662598,34.761719,7.849854,7.684326,35.789062
3.170166,8.661133,34.753906,7.851807,7.684082,35.796875
3.166748,8.661133,34.750000,7.852783,7.683838,35.781250
3.170654,8.659912,34.757812,7.856934,7.685059,35.785156
3.170654,8.658203,34.753906,7.854492,7.685059,35.792969
3.166016,8.655762,34.750000,7.854736,7.685303,35.785156
3.164307,8.657471,34.753906,7.853271,7.684082,35.796875
3.165527,8.659180,34.746094,7.857422,7.683594,35.785156
3.167725,8.662109,34.746094,7.862061,7.682129,35.773438
3.171631,8.665527,34.742188,7.858643,7.680664,35.781250
3.168213,8.667236,34.738281,7.854248,7.680908,35.777344
3.167480,8.671631,34.734375,7.860596,7.681152,35.781250
3.174072,8.673584,34.742188,7.861572,7.680664,35.785156
3.169922,8.677734,34.746094,7.864258,7.679199,35.769531
3.171631,8.680664,34.746094,7.863281,7.682129,35.785156
3.170410,8.683838,34.738281,7.867188,7.683350,35.777344
3.169189,8.683350,34.738281,7.863525,7.687256,35.785156
3.167725,8.682129,34.742188,7.862793,7.687012,35.796875
3.170898,8.685059,34.746094,7.867432,7.688232,35.785156
3.167480,8.685547,34.746094,7.867676,7.686279,35.773438
3.168701,8.687256,34.734375,7.868896,7.684570,35.792969
3.165771,8.689209,34.734375,7.873779,7.684570,35.789062
3.162842,8.689941,34.734375,7.873047,7.687988,35.796875
3.162598,8.689941,34.730469,7.874512,7.690186,35.792969
3.160400,8.684326,34.734375,7.869873,7.695557,35.800781
3.160156,8.685303,34.734375,7.867676,7.695801,35.812500
3.160400,8.683838,34.722656,7.870605,7.697754,35.824219
3.160645,8.683350,34.730469,7.868408,7.697998,35.835938
3.157227,8.684326,34.730469,7.865234,7.696289,35.843750
3.157715,8.682373,34.742188,7.865967,7.697510,35.855469
3.158447,8.683838,34.746094,7.861816,7.697021,35.863281
3.154297,8.682129,34.757812,7.859619,7.697998,35.875000
3.156250,8.682861,34.742188,7.855469,7.699707,35.871094
3.157471,8.682617,34.746094,7.854736,7.696777,35.882812
3.154297,8.682617,34.750000,7.855469,7.701904,35.875000
3.156494,8.685059,34.746094,7.854248,7.704346,35.882812
3.155029,8.685791,34.742188,7.855713,7.707031,35.871094
3.155029,8.687500,34.753906,7.856201,7.706299,35.875000
3.154785,8.689697,34.750000,7.853271,7.706299,35.882812
3.154785,8.688721,34.742188,7.848145,7.701904,35.878906
3.156494,8.689697,34.746094,7.848877,7.702637,35.878906
3.160400,8.692139,34.742188,7.847412,7.702881,35.890625
